gender,equipmentLevel,drugTested,divisionCode,weightClass,competitionType,lift,location,recordWeight,name
FEMALE,RAW,TESTED,SJ,43,FULL-POWER,SQUAT,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,43,FULL-POWER,BENCH-PRESS,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,43,FULL-POWER,DEADLIFT,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,43,FULL-POWER,TOTAL,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,47,FULL-POWER,SQUAT,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,47,FULL-POWER,BENCH-PRESS,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,47,FULL-POWER,DEADLIFT,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,47,FULL-POWER,TOTAL,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,52,FULL-POWER,SQUAT,STATE:SC,107.5,Mariana Villanueva
FEMALE,RAW,TESTED,SJ,52,FULL-POWER,BENCH-PRESS,STATE:SC,55,Valeria Martinez 
FEMALE,RAW,TESTED,SJ,52,FULL-POWER,DEADLIFT,STATE:SC,125,Mariana Villanueva
FEMALE,RAW,TESTED,SJ,52,FULL-POWER,TOTAL,STATE:SC,275,Mariana Villanueva
FEMALE,RAW,TESTED,SJ,57,FULL-POWER,SQUAT,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,57,FULL-POWER,BENCH-PRESS,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,57,FULL-POWER,DEADLIFT,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,57,FULL-POWER,TOTAL,STATE:SC,N/A,
FEMALE,RAW,TESTED,SJ,63,FULL-POWER,SQUAT,STATE:SC,147.5,Sashiro Sau
FEMALE,RAW,TESTED,SJ,63,FULL-POWER,BENCH-PRESS,STATE:SC,70,Sashiro Sau
FEMALE,RAW,TESTED,SJ,63,FULL-POWER,DEADLIFT,STATE:SC,150,Sashiro Sau
FEMALE,RAW,TESTED,SJ,63,FULL-POWER,TOTAL,STATE:SC,367.5,Sashiro Sau
FEMALE,RAW,TESTED,SJ,69,FULL-POWER,SQUAT,STATE:SC,105,Camila Valencia
FEMALE,RAW,TESTED,SJ,69,FULL-POWER,BENCH-PRESS,STATE:SC,55,Camila Valencia
FEMALE,RAW,TESTED,SJ,69,FULL-POWER,DEADLIFT,STATE:SC,105,Camila Valencia
FEMALE,RAW,TESTED,SJ,69,FULL-POWER,TOTAL,STATE:SC,265,Camila Valencia
FEMALE,RAW,TESTED,SJ,76,FULL-POWER,SQUAT,STATE:SC,137.5,Anahis Guerrero
FEMALE,RAW,TESTED,SJ,76,FULL-POWER,BENCH-PRESS,STATE:SC,67.5,Anahis Guerrero
FEMALE,RAW,TESTED,SJ,76,FULL-POWER,DEADLIFT,STATE:SC,137.5,Anahis Guerrero
FEMALE,RAW,TESTED,SJ,76,FULL-POWER,TOTAL,STATE:SC,342.5,Anahis Guerrero
FEMALE,RAW,TESTED,SJ,84,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,SJ,84,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,SJ,84,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,SJ,84,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,SJ,84+,FULL-POWER,SQUAT,STATE:SC,145,Yanderli Espinoza
FEMALE,RAW,TESTED,SJ,84+,FULL-POWER,BENCH-PRESS,STATE:SC,87.5,Yanderli Espinoza
FEMALE,RAW,TESTED,SJ,84+,FULL-POWER,DEADLIFT,STATE:SC,155,Yanderli Espinoza
FEMALE,RAW,TESTED,SJ,84+,FULL-POWER,TOTAL,STATE:SC,387.5,Yanderli Espinoza
FEMALE,RAW,TESTED,J,43,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,J,43,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,J,43,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,J,43,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,J,47,FULL-POWER,SQUAT,STATE:SC,n/a,
