gender,equipmentLevel,drugTested,divisionCode,weightClass,competitionType,lift,location,recordWeight,name
MALE,RAW,TESTED,SJ,53,FULL-POWER,SQUAT,STATE:SC,125,Mario Andre Hernandez
MALE,RAW,TESTED,SJ,53,FULL-POWER,BENCH-PRESS,STATE:SC,72.5,Mario Andre Hernandez
MALE,RAW,TESTED,SJ,53,FULL-POWER,DEADLIFT,STATE:SC,145,Mario Andre Hernandez
MALE,RAW,TESTED,SJ,53,FULL-POWER,TOTAL,STATE:SC,342.5,Mario Andre Hernandez
MALE,RAW,TESTED,SJ,59,FULL-POWER,SQUAT,STATE:SC,155,Emmanuel Fuentes
MALE,RAW,TESTED,SJ,59,FULL-POWER,BENCH-PRESS,STATE:SC,115,Samuel Roberto Soto
MALE,RAW,TESTED,SJ,59,FULL-POWER,DEADLIFT,STATE:SC,172.5,Emmanuel Fuentes
MALE,RAW,TESTED,SJ,59,FULL-POWER,TOTAL,STATE:SC,430,Samuel Roberto Soto
MALE,RAW,TESTED,SJ,66,FULL-POWER,SQUAT,STATE:SC,200,Gabriel Torres
MALE,RAW,TESTED,SJ,66,FULL-POWER,BENCH-PRESS,STATE:SC,125,Gabriel Torres
MALE,RAW,TESTED,SJ,66,FULL-POWER,DEADLIFT,STATE:SC,222.5,Roberto Granillo
MALE,RAW,TESTED,SJ,66,FULL-POWER,TOTAL,STATE:SC,537.5,Gabriel Torres
MALE,RAW,TESTED,SJ,74,FULL-POWER,SQUAT,STATE:SC,195,Donovan Duran
MALE,RAW,TESTED,SJ,74,FULL-POWER,BENCH-PRESS,STATE:SC,112.5,Donovan Duran
MALE,RAW,TESTED,SJ,74,FULL-POWER,DEADLIFT,STATE:SC,230,Donovan Duran
MALE,RAW,TESTED,SJ,74,FULL-POWER,TOTAL,STATE:SC,537.5,Donovan Duran
MALE,RAW,TESTED,SJ,83,FULL-POWER,SQUAT,STATE:SC,182.5,Oscar Emmanuel Garcia
MALE,RAW,TESTED,SJ,83,FULL-POWER,BENCH-PRESS,STATE:SC,115,Oscar Emmanuel Garcia
MALE,RAW,TESTED,SJ,83,FULL-POWER,DEADLIFT,STATE:SC,230,Oscar Emmanuel Garcia
MALE,RAW,TESTED,SJ,83,FULL-POWER,TOTAL,STATE:SC,515,Oscar Emmanuel Garcia
MALE,RAW,TESTED,SJ,93,FULL-POWER,SQUAT,STATE:SC,242.5,Aldo Peñuñuri
MALE,RAW,TESTED,SJ,93,FULL-POWER,BENCH-PRESS,STATE:SC,107.5,Aldo Peñuñuri
MALE,RAW,TESTED,SJ,93,FULL-POWER,DEADLIFT,STATE:SC,250,Aldo Peñuñuri
MALE,RAW,TESTED,SJ,93,FULL-POWER,TOTAL,STATE:SC,600,Aldo Peñuñuri
MALE,RAW,TESTED,SJ,105,FULL-POWER,SQUAT,STATE:SC,215,Jesus Rivera
MALE,RAW,TESTED,SJ,105,FULL-POWER,BENCH-PRESS,STATE:SC,125,Jesus Rivera
MALE,RAW,TESTED,SJ,105,FULL-POWER,DEADLIFT,STATE:SC,252.5,Andres Arturo
MALE,RAW,TESTED,SJ,105,FULL-POWER,TOTAL,STATE:SC,580,Andres Arturo
MALE,RAW,TESTED,SJ,120,FULL-POWER,SQUAT,STATE:SC,205,Jorge Lopez
MALE,RAW,TESTED,SJ,120,FULL-POWER,BENCH-PRESS,STATE:SC,150,Jorge Lopez
MALE,RAW,TESTED,SJ,120,FULL-POWER,DEADLIFT,STATE:SC,237.5,Jorge Lopez
MALE,RAW,TESTED,SJ,120,FULL-POWER,TOTAL,STATE:SC,592.5,Jorge Lopez
MALE,RAW,TESTED,SJ,120+,FULL-POWER,SQUAT,STATE:SC,185,Manuel Enrique Valenzuela
MALE,RAW,TESTED,SJ,120+,FULL-POWER,BENCH-PRESS,STATE:SC,142.5,Manuel Enrique Valenzuela
MALE,RAW,TESTED,SJ,120+,FULL-POWER,DEADLIFT,STATE:SC,192.5,Manuel Enrique Valenzuela
MALE,RAW,TESTED,SJ,120+,FULL-POWER,TOTAL,STATE:SC,520,Manuel Enrique Valenzuela
,,,,,,,,,
,,,,,,,,,
MALE,RAW,TESTED,J,53,FULL-POWER,SQUAT,STATE:SC,N/A,
MALE,RAW,TESTED,J,53,FULL-POWER,BENCH-PRESS,STATE:SC,N/A,
MALE,RAW,TESTED,J,53,FULL-POWER,DEADLIFT,STATE:SC,N/A,
MALE,RAW,TESTED,J,53,FULL-POWER,TOTAL,STATE:SC,N/A,
MALE,RAW,TESTED,J,59,FULL-POWER,SQUAT,STATE:SC,182.5,Daniel Corral
MALE,RAW,TESTED,J,59,FULL-POWER,BENCH-PRESS,STATE:SC,132.5,Jose Francisco Martinez
MALE,RAW,TESTED,J,59,FULL-POWER,DEADLIFT,STATE:SC,210,Daniel Corral
MALE,RAW,TESTED,J,59,FULL-POWER,TOTAL,STATE:SC,505,Daniel Corral
MALE,RAW,TESTED,J,66,FULL-POWER,SQUAT,STATE:SC,200,Christian Lamadrid
MALE,RAW,TESTED,J,66,FULL-POWER,BENCH-PRESS,STATE:SC,135,Adriel Chaidez
MALE,RAW,TESTED,J,66,FULL-POWER,DEADLIFT,STATE:SC,225,Luis David Rangel
MALE,RAW,TESTED,J,66,FULL-POWER,TOTAL,STATE:SC,550,Christian Lamadrid
MALE,RAW,TESTED,J,74,FULL-POWER,SQUAT,STATE:SC,225,Alan Gomez
MALE,RAW,TESTED,J,74,FULL-POWER,BENCH-PRESS,STATE:SC,125,Alan Gomez
MALE,RAW,TESTED,J,74,FULL-POWER,DEADLIFT,STATE:SC,260,Alan Gomez
MALE,RAW,TESTED,J,74,FULL-POWER,TOTAL,STATE:SC,600,Alan Gomez
MALE,RAW,TESTED,J,83,FULL-POWER,SQUAT,STATE:SC,245,Alek Mercado Villaseñor
MALE,RAW,TESTED,J,83,FULL-POWER,BENCH-PRESS,STATE:SC,150,Alek Mercado Villaseñor
MALE,RAW,TESTED,J,83,FULL-POWER,DEADLIFT,STATE:SC,262.5,Alek Mercado Villaseñor
MALE,RAW,TESTED,J,83,FULL-POWER,TOTAL,STATE:SC,657.5,Alek Mercado Villaseñor
MALE,RAW,TESTED,J,93,FULL-POWER,SQUAT,STATE:SC,220,Luis Alejandro Espinoza
MALE,RAW,TESTED,J,93,FULL-POWER,BENCH-PRESS,STATE:SC,140,Ricardo Contreras Santos
MALE,RAW,TESTED,J,93,FULL-POWER,DEADLIFT,STATE:SC,250,Juan Carlos Sandoval
MALE,RAW,TESTED,J,93,FULL-POWER,TOTAL,STATE:SC,597.5,Ricardo Contreras Santos
MALE,RAW,TESTED,J,105,FULL-POWER,SQUAT,STATE:SC,230,Eduardo Garcia
MALE,RAW,TESTED,J,105,FULL-POWER,BENCH-PRESS,STATE:SC,142.5,Francisco Hernandez
MALE,RAW,TESTED,J,105,FULL-POWER,DEADLIFT,STATE:SC,245,Eduardo Garcia
MALE,RAW,TESTED,J,105,FULL-POWER,TOTAL,STATE:SC,592.5,Eduardo Garcia
MALE,RAW,TESTED,J,120,FULL-POWER,SQUAT,STATE:SC,245,Angel Anduaga
MALE,RAW,TESTED,J,120,FULL-POWER,BENCH-PRESS,STATE:SC,167.5,Angel Manuel Cordova
MALE,RAW,TESTED,J,120,FULL-POWER,DEADLIFT,STATE:SC,277.5,Angel Anduaga
MALE,RAW,TESTED,J,120,FULL-POWER,TOTAL,STATE:SC,650,Angel Anduaga
MALE,RAW,TESTED,J,120+,FULL-POWER,SQUAT,STATE:SC,242.5,Alberto Valenzuela
MALE,RAW,TESTED,J,120+,FULL-POWER,BENCH-PRESS,STATE:SC,142.5,Alberto Valenzuela
MALE,RAW,TESTED,J,120+,FULL-POWER,DEADLIFT,STATE:SC,242.5,Alberto Valenzuela
MALE,RAW,TESTED,J,120+,FULL-POWER,TOTAL,STATE:SC,627.5,Alberto Valenzuela
,,,,,,,,,
MALE,RAW,TESTED,O,53,FULL-POWER,SQUAT,STATE:SC,n/a,
MALE,RAW,TESTED,O,53,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
MALE,RAW,TESTED,O,53,FULL-POWER,DEADLIFT,STATE:SC,n/a,
